"Codice";"Titolo";"Classificazione"
"10.11";"Lavorazione e conservazione di carne, esclusa la carne di volatili";"Classe"
"10.11.0";"Lavorazione e conservazione di carne, esclusa la carne di volatili";"Categoria"
"10.11.00";"Lavorazione e conservazione di carne, esclusa la carne di volatili";"Sottocategoria"
"10.12";"Lavorazione e conservazione di carne di volatili";"Classe"
"10.12.0";"Lavorazione e conservazione di carne di volatili";"Categoria"
"10.12.00";"Lavorazione e conservazione di carne di volatili";"Sottocategoria"
"10.13";"Produzione di prodotti a base di carne, inclusi prodotti a base di carne di volatili";"Classe"
"10.13.0";"Produzione di prodotti a base di carne, inclusi prodotti a base di carne di volatili";"Categoria"
"10.13.00";"Produzione di prodotti a base di carne, inclusi prodotti a base di carne di volatili";"Sottocategoria"
"10.2";"Lavorazione e conservazione di pesce, crostacei e molluschi";"Gruppo"
"10.20";"Lavorazione e conservazione di pesce, crostacei e molluschi";"Classe"
"10.20.0";"Lavorazione e conservazione di pesce, crostacei e molluschi";"Categoria"
"10.20.01";"Lavorazione di alghe";"Sottocategoria"
"10.20.09";"Altre attività di lavorazione e conservazione di pesce, crostacei e molluschi";"Sottocategoria"
"10.3";"Lavorazione e conservazione di frutta e ortaggi";"Gruppo"
"10.31";"Lavorazione e conservazione di patate";"Classe"
"10.31.0";"Lavorazione e conservazione di patate";"Categoria"
"10.31.00";"Lavorazione e conservazione di patate";"Sottocategoria"
"10.32";"Produzione di succhi a base di frutta e ortaggi";"Classe"
"10.32.0";"Produzione di succhi a base di frutta e ortaggi";"Categoria"
"10.32.00";"Produzione di succhi a base di frutta e ortaggi";"Sottocategoria"
"10.39";"Altre attività di lavorazione e conservazione di frutta e ortaggi";"Classe"
"10.39.0";"Altre attività di lavorazione e conservazione di frutta e ortaggi";"Categoria"
"10.39.00";"Altre attività di lavorazione e conservazione di frutta e ortaggi";"Sottocategoria"
"10.4";"Produzione di oli e grassi vegetali e animali";"Gruppo"
"10.41";"Produzione di oli e grassi";"Classe"
"10.41.1";"Produzione di olio di oliva";"Categoria"
"10.41.10";"Produzione di olio di oliva";"Sottocategoria"
"10.41.2";"Produzione di altri oli vegetali";"Categoria"
"10.41.20";"Produzione di altri oli vegetali";"Sottocategoria"
"10.41.3";"Produzione di oli e grassi animali";"Categoria"
"10.41.30";"Produzione di oli e grassi animali";"Sottocategoria"
"10.42";"Produzione di margarina e di grassi alimentari simili";"Classe"
"10.42.0";"Produzione di margarina e di grassi alimentari simili";"Categoria"
"10.42.00";"Produzione di margarina e di grassi alimentari simili";"Sottocategoria"
"10.5";"Produzione di prodotti lattiero-caseari e gelati";"Gruppo"
"10.51";"Produzione di prodotti lattiero-caseari";"Classe"
"10.51.1";"Trattamento igienico del latte";"Categoria"
"10.51.10";"Trattamento igienico del latte";"Sottocategoria"
"10.51.2";"Produzione di derivati del latte";"Categoria"
"10.51.20";"Produzione di derivati del latte";"Sottocategoria"
"10.52";"Produzione di gelati";"Classe"
"10.52.0";"Produzione di gelati";"Categoria"
"10.52.00";"Produzione di gelati";"Sottocategoria"
"10.6";"Lavorazione di granaglie, produzione di amidi e di prodotti amidacei";"Gruppo"
"10.61";"Lavorazione di granaglie";"Classe"
"10.61.1";"Lavorazione di frumento e altri cereali";"Categoria"
"10.61.11";"Lavorazione di frumento";"Sottocategoria"
"10.61.19";"Lavorazione di altri cereali";"Sottocategoria"
"10.61.2";"Lavorazione del riso";"Categoria"
"10.61.20";"Lavorazione del riso";"Sottocategoria"
"10.61.9";"Lavorazioni di altre granaglie";"Categoria"
"10.61.90";"Lavorazioni di altre granaglie";"Sottocategoria"
"10.62";"Produzione di amidi e di prodotti amidacei";"Classe"
"10.62.0";"Produzione di amidi e di prodotti amidacei";"Categoria"
"10.62.00";"Produzione di amidi e di prodotti amidacei";"Sottocategoria"
"10.7";"Produzione di prodotti da forno e farinacei";"Gruppo"
"10.71";"Produzione di pane; produzione di prodotti di pasticceria freschi";"Classe"
"10.71.1";"Produzione di pane e prodotti di panetteria simili";"Categoria"
"10.71.10";"Produzione di pane e prodotti di panetteria simili";"Sottocategoria"
"10.71.2";"Produzione di prodotti di pasticceria freschi";"Categoria"
"10.71.20";"Produzione di prodotti di pasticceria freschi";"Sottocategoria"
"10.72";"Produzione di fette biscottate, biscotti, prodotti di pasticceria conservati";"Classe"
"10.72.0";"Produzione di fette biscottate, biscotti, prodotti di pasticceria conservati";"Categoria"
"10.72.00";"Produzione di fette biscottate, biscotti, prodotti di pasticceria conservati";"Sottocategoria"
"10.73";"Produzione di prodotti farinacei";"Classe"
"10.73.0";"Produzione di prodotti farinacei";"Categoria"
"10.73.01";"Produzione di prodotti farinacei freschi";"Sottocategoria"
"10.73.02";"Produzione di prodotti farinacei conservati";"Sottocategoria"
"10.8";"Produzione di altri prodotti alimentari";"Gruppo"
"10.81";"Produzione di zucchero";"Classe"
"10.81.0";"Produzione di zucchero";"Categoria"
"10.81.00";"Produzione di zucchero";"Sottocategoria"
"10.82";"Produzione di cacao, cioccolato, caramelle e confetterie";"Classe"
"10.82.0";"Produzione di cacao, cioccolato, caramelle e confetterie";"Categoria"
"10.82.00";"Produzione di cacao, cioccolato, caramelle e confetterie";"Sottocategoria"
"10.83";"Lavorazione di tè e caffè";"Classe"
"10.83.0";"Lavorazione di tè e caffè";"Categoria"
"10.83.01";"Lavorazione di tè e di altri preparati per infusi";"Sottocategoria"
"10.83.02";"Lavorazione di caffè";"Sottocategoria"
"10.84";"Produzione di condimenti e spezie";"Classe"
"10.84.0";"Produzione di condimenti e spezie";"Categoria"
"10.84.00";"Produzione di condimenti e spezie";"Sottocategoria"
"10.85";"Produzione di pasti e piatti preparati";"Classe"
"10.85.0";"Produzione di pasti e piatti preparati";"Categoria"
"10.85.01";"Produzione di pasti e piatti preparati a base di carne, inclusi pasti e piatti preparati a base di carne di volatili";"Sottocategoria"
"10.85.02";"Produzione di pasti e piatti preparati a base di pesce";"Sottocategoria"
"10.85.03";"Produzione di pasti e piatti preparati a base di ortaggi";"Sottocategoria"
"10.85.04";"Produzione di pizza surgelata o altrimenti conservata";"Sottocategoria"
"10.85.05";"Produzione di pasti e piatti preparati a base di pasta";"Sottocategoria"
"10.85.09";"Produzione di altri pasti e piatti preparati";"Sottocategoria"
"10.86";"Produzione di preparati omogeneizzati e di alimenti dietetici";"Classe"
"10.86.0";"Produzione di preparati omogeneizzati e di alimenti dietetici";"Categoria"
"10.86.00";"Produzione di preparati omogeneizzati e di alimenti dietetici";"Sottocategoria"
"10.89";"Produzione di altri prodotti alimentari n.c.a.";"Classe"
"10.89.0";"Produzione di altri prodotti alimentari n.c.a.";"Categoria"
"10.89.01";"Produzione di integratori alimentari";"Sottocategoria"
"10.89.09";"Produzione di altri prodotti alimentari vari n.c.a.";"Sottocategoria"
"10.9";"Produzione di prodotti per l'alimentazione degli animali";"Gruppo"
"10.91";"Produzione di mangimi per l'alimentazione degli animali da allevamento";"Classe"
"10.91.0";"Produzione di mangimi per l'alimentazione degli animali da allevamento";"Categoria"
"10.91.00";"Produzione di mangimi per l'alimentazione degli animali da allevamento";"Sottocategoria"
"10.92";"Produzione di prodotti per l'alimentazione degli animali da compagnia";"Classe"
"10.92.0";"Produzione di prodotti per l'alimentazione degli animali da compagnia";"Categoria"
"10.92.00";"Produzione di prodotti per l'alimentazione degli animali da compagnia";"Sottocategoria"
"11";"Produzione di bevande";"Divisione"
"11.0";"Produzione di bevande";"Gruppo"
"11.01";"Distillazione, rettifica e miscelatura di alcolici";"Classe"
"11.01.0";"Distillazione, rettifica e miscelatura di alcolici";"Categoria"
"11.01.00";"Distillazione, rettifica e miscelatura di alcolici";"Sottocategoria"
"11.02";"Produzione di vini da uve";"Classe"
"11.02.1";"Produzione di vini, esclusi vini spumanti e altri vini speciali";"Categoria"
"11.02.10";"Produzione di vini, esclusi vini spumanti e altri vini speciali";"Sottocategoria"
"11.02.2";"Produzione di vini spumanti e altri vini speciali";"Categoria"
"11.02.20";"Produzione di vini spumanti e altri vini speciali";"Sottocategoria"
"11.03";"Produzione di sidro e di altre bevande fermentate a base di frutta";"Classe"
"11.03.0";"Produzione di sidro e di altre bevande fermentate a base di frutta";"Categoria"
"11.03.00";"Produzione di sidro e di altre bevande fermentate a base di frutta";"Sottocategoria"
"11.04";"Produzione di altre bevande fermentate non distillate";"Classe"
"11.04.0";"Produzione di altre bevande fermentate non distillate";"Categoria"
"11.04.00";"Produzione di altre bevande fermentate non distillate";"Sottocategoria"
"11.05";"Produzione di birra";"Classe"
"11.05.0";"Produzione di birra";"Categoria"
"11.05.00";"Produzione di birra";"Sottocategoria"
"11.06";"Produzione di malto";"Classe"
"11.06.0";"Produzione di malto";"Categoria"
"11.06.00";"Produzione di malto";"Sottocategoria"
"11.07";"Produzione di bibite analcoliche e di acque in bottiglia";"Classe"
"11.07.0";"Produzione di bibite analcoliche e di acque in bottiglia";"Categoria"
"11.07.01";"Produzione di bibite analcoliche";"Sottocategoria"
"11.07.02";"Produzione di acque in bottiglia";"Sottocategoria"
"12";"Produzione di prodotti del tabacco";"Divisione"
"12.0";"Produzione di prodotti del tabacco";"Gruppo"
"12.00";"Produzione di prodotti del tabacco";"Classe"
"12.00.0";"Produzione di prodotti del tabacco";"Categoria"
"12.00.00";"Produzione di prodotti del tabacco";"Sottocategoria"
"13";"Fabbricazione di tessili";"Divisione"
"13.1";"Preparazione e filatura di fibre tessili";"Gruppo"
"13.10";"Preparazione e filatura di fibre tessili";"Classe"
"13.10.0";"Preparazione e filatura di fibre tessili";"Categoria"
"13.10.00";"Preparazione e filatura di fibre tessili";"Sottocategoria"
"13.2";"Tessitura";"Gruppo"
"13.20";"Tessitura";"Classe"
"13.20.0";"Tessitura";"Categoria"
"13.20.00";"Tessitura";"Sottocategoria"
"13.3";"Finissaggio dei tessili";"Gruppo"
"13.30";"Finissaggio dei tessili";"Classe"
"13.30.0";"Finissaggio dei tessili";"Categoria"
"13.30.00";"Finissaggio dei tessili";"Sottocategoria"
"13.9";"Altre fabbricazioni tessili";"Gruppo"
"13.91";"Fabbricazione di tessuti a maglia e all'uncinetto";"Classe"
"13.91.0";"Fabbricazione di tessuti a maglia e all'uncinetto";"Categoria"
"13.91.00";"Fabbricazione di tessuti a maglia e all'uncinetto";"Sottocategoria"
"13.92";"Fabbricazione di tessili per la casa e l'arredo";"Classe"
"13.92.1";"Fabbricazione di tessili per la casa";"Categoria"
"13.92.10";"Fabbricazione di tessili per la casa";"Sottocategoria"
"13.92.2";"Fabbricazione di tessili per l'arredo";"Categoria"
"13.92.20";"Fabbricazione di tessili per l'arredo";"Sottocategoria"
"13.93";"Fabbricazione di tappeti e moquette";"Classe"
"13.93.0";"Fabbricazione di tappeti e moquette";"Categoria"
"13.93.00";"Fabbricazione di tappeti e moquette";"Sottocategoria"
"13.94";"Fabbricazione di spago, corde, funi e reti";"Classe"
"13.94.0";"Fabbricazione di spago, corde, funi e reti";"Categoria"
"13.94.00";"Fabbricazione di spago, corde, funi e reti";"Sottocategoria"
"13.95";"Fabbricazione di tessuti non-tessuti e di articoli in tessuto non-tessuto";"Classe"
"13.95.0";"Fabbricazione di tessuti non-tessuti e di articoli in tessuto non-tessuto";"Categoria"
"13.95.00";"Fabbricazione di tessuti non-tessuti e di articoli in tessuto non-tessuto";"Sottocategoria"
"13.96";"Fabbricazione di altri tessuti per uso tecnico e industriale";"Classe"
"13.96.0";"Fabbricazione di altri tessuti per uso tecnico e industriale";"Categoria"
"13.96.00";"Fabbricazione di altri tessuti per uso tecnico e industriale";"Sottocategoria"
"13.99";"Fabbricazione di altri prodotti tessili n.c.a.";"Classe"
"13.99.1";"Fabbricazione di ricami, tulle, pizzi e merletti";"Categoria"
"13.99.10";"Fabbricazione di ricami, tulle, pizzi e merletti";"Sottocategoria"
"13.99.9";"Fabbricazione di feltro e altri prodotti tessili diversi n.c.a.";"Categoria"
"13.99.90";"Fabbricazione di feltro e altri prodotti tessili diversi n.c.a.";"Sottocategoria"
"14";"Fabbricazione di articoli di abbigliamento";"Divisione"
"14.1";"Fabbricazione di articoli a maglia e all'uncinetto";"Gruppo"
"14.10";"Fabbricazione di articoli a maglia e all'uncinetto";"Classe"
"14.10.1";"Fabbricazione di articoli di calzetteria a maglia e all'uncinetto";"Categoria"
"14.10.10";"Fabbricazione di articoli di calzetteria a maglia e all'uncinetto";"Sottocategoria"
"14.10.2";"Fabbricazione di maglioni e altri articoli a maglia e all'uncinetto";"Categoria"
"14.10.20";"Fabbricazione di maglioni e altri articoli a maglia e all'uncinetto";"Sottocategoria"
"14.2";"Fabbricazione di altri articoli di abbigliamento e accessori";"Gruppo"
"14.21";"Fabbricazione di abbigliamento esterno";"Classe"
"14.21.1";"Fabbricazione in serie di abbigliamento esterno";"Categoria"
"14.21.10";"Fabbricazione in serie di abbigliamento esterno";"Sottocategoria"
"14.21.2";"Sartoria e confezione su misura di abbigliamento esterno";"Categoria"
"14.21.20";"Sartoria e confezione su misura di abbigliamento esterno";"Sottocategoria"
